Raw ADC: 2712.0 | Calculated Volume: 19.88 ml
Raw ADC: 2711.0 | Calculated Volume: 19.89 ml
Raw ADC: 2700.0 | Calculated Volume: 20.10 ml
Raw ADC: 2694.0 | Calculated Volume: 20.22 ml
Raw ADC: 2694.0 | Calculated Volume: 20.22 ml
Raw ADC: 2704.0 | Calculated Volume: 20.03 ml
Raw ADC: 2712.0 | Calculated Volume: 19.88 ml
Raw ADC: 2720.0 | Calculated Volume: 19.72 ml
Raw ADC: 2711.0 | Calculated Volume: 19.89 ml
Raw ADC: 2704.0 | Calculated Volume: 20.03 ml
Raw ADC: 2702.0 | Calculated Volume: 20.06 ml
Raw ADC: 2700.0 | Calculated Volume: 20.10 ml
Raw ADC: 2710.0 | Calculated Volume: 19.91 ml
--------------------------------------------------
BATCH COMPLETE! AVERAGE ADC: 2691.68 | AVERAGE VOLUME: 20.26 ml
--------------------------------------------------


Raw ADC: 2140.0 | Calculated Volume: 30.70 ml
Raw ADC: 2160.0 | Calculated Volume: 30.32 ml
Raw ADC: 2176.0 | Calculated Volume: 30.01 ml
Raw ADC: 2177.0 | Calculated Volume: 30.00 ml
Raw ADC: 2180.0 | Calculated Volume: 29.94 ml
Raw ADC: 2180.0 | Calculated Volume: 29.94 ml
Raw ADC: 2188.0 | Calculated Volume: 29.79 ml
Raw ADC: 2240.0 | Calculated Volume: 28.80 ml
Raw ADC: 2188.0 | Calculated Volume: 29.79 ml
Raw ADC: 2232.0 | Calculated Volume: 28.96 ml
Raw ADC: 2266.0 | Calculated Volume: 28.31 ml
Raw ADC: 2260.0 | Calculated Volume: 28.43 ml
Raw ADC: 2260.0 | Calculated Volume: 28.43 ml
Raw ADC: 2263.0 | Calculated Volume: 28.37 ml
Raw ADC: 2246.0 | Calculated Volume: 28.69 ml
Raw ADC: 2260.0 | Calculated Volume: 28.43 ml
Raw ADC: 2276.0 | Calculated Volume: 28.12 ml
Raw ADC: 2271.0 | Calculated Volume: 28.22 ml
Raw ADC: 2285.0 | Calculated Volume: 27.95 ml
Raw ADC: 2278.0 | Calculated Volume: 28.08 ml
Raw ADC: 2308.0 | Calculated Volume: 27.52 ml
Raw ADC: 2285.0 | Calculated Volume: 27.95 ml
Raw ADC: 2271.0 | Calculated Volume: 28.22 ml
Raw ADC: 2311.0 | Calculated Volume: 27.46 ml
Raw ADC: 2316.0 | Calculated Volume: 27.37 ml
Raw ADC: 2332.0 | Calculated Volume: 27.06 ml
Raw ADC: 2345.0 | Calculated Volume: 26.82 ml
Raw ADC: 2357.0 | Calculated Volume: 26.59 ml
Raw ADC: 2374.0 | Calculated Volume: 26.27 ml
Raw ADC: 2406.0 | Calculated Volume: 25.66 ml
Raw ADC: 2436.0 | Calculated Volume: 25.10 ml
Raw ADC: 2460.0 | Calculated Volume: 24.64 ml
Raw ADC: 2409.0 | Calculated Volume: 25.61 ml
Raw ADC: 2412.0 | Calculated Volume: 25.55 ml
Raw ADC: 2417.0 | Calculated Volume: 25.46 ml
Raw ADC: 2432.0 | Calculated Volume: 25.17 ml
Raw ADC: 2452.0 | Calculated Volume: 24.79 ml
Raw ADC: 2458.0 | Calculated Volume: 24.68 ml
Raw ADC: 2454.0 | Calculated Volume: 24.76 ml
Raw ADC: 2448.0 | Calculated Volume: 24.87 ml
--------------------------------------------------
BATCH COMPLETE! AVERAGE ADC: 2305.22 | AVERAGE VOLUME: 27.57 ml
